Provider Number,Hospital Name,Address,City,State,ZIP Code,County Name,MORT-30-AMI Performance Rate,MORT-30-AMI Achievement Points,MORT-30-AMI Improvement Points,MORT-30-AMI Measure Score,MORT-30-HF Performance Rate,MORT-30-HF Achievement Points,MORT-30-HF Improvement Points,MORT-30-HF Measure Score,MORT-30-PN Performance Rate,MORT-30-PN Achievement Points,MORT-30-PN Improvement Points,MORT-30-PN Measure Score,PSI-90 Performance Rate,PSI-90 Achievement Points,PSI-90 Improvement Points,PSI-90 Measure Score,HAI-1_Performance_Rate,HAI-1 Achievement Points,HAI-1 Improvement Points,HAI-1 Measure Score,HAI-2 Performance Rate,HAI-2 Achievement Points,HAI-2 Improvement Points,HAI-2 Measure Score,Combined SSI Measure Score,HAI-3 Performance Rate,HAI-3 Achievement Points,HAI-3 Improvement Points,HAI-3 Measure Score,HAI-4 Performance Rate,HAI-4 Achievement Points,HAI-4 Improvement Points,HAI-4 Measure Score
"010101","CITIZENS BAPTIST MEDICAL CENTER","604 STONE AVENUE","Talladega","AL","35160","TALLADEGA","0.855446","Not Available","Not Available","Not Available","0.883681","2 out of 10","4 out of 9","4 out of 10","0.869120","0 out of 10","Not Available","0 out of 10","0.600230","1 out of 10","0 out of 9","1 out of 10","Not Available","Not Available","Not Available","Not Available","0.000","10 out of 10","Not Available","10 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010103","BAPTIST MEDICAL CENTER-PRINCETON","701 PRINCETON AVENUE SOUTHWEST","Birmingham","AL","35211","JEFFERSON","0.832399","0 out of 10","0 out of 9","0 out of 10","0.861313","0 out of 10","0 out of 9","0 out of 10","0.864938","0 out of 10","0 out of 9","0 out of 10","0.522413","6 out of 10","0 out of 9","6 out of 10","0.603","0 out of 10","0 out of 9","0 out of 10","0.810","0 out of 10","0 out of 9","0 out of 10","7 out of 10","0.170","7 out of 10","1 out of 9","7 out of 10","Not Available","Not Available","Not Available","Not Available"
"010104","GRANDVIEW MEDICAL CENTER","3690 GRANDVIEW PARKWAY","Birmingham","AL","35243","JEFFERSON","0.860383","8 out of 10","9 out of 9","9 out of 10","0.885999","3 out of 10","6 out of 9","6 out of 10","0.831657","0 out of 10","0 out of 9","0 out of 10","0.870377","0 out of 10","0 out of 9","0 out of 10","0.313","3 out of 10","0 out of 9","3 out of 10","0.699","2 out of 10","0 out of 9","2 out of 10","6 out of 10","0.232","6 out of 10","2 out of 9","6 out of 10","Not Available","Not Available","Not Available","Not Available"
"010108","PRATTVILLE BAPTIST HOSPITAL","124 S MEMORIAL DR","Prattville","AL","36067","AUTAUGA","0.863543","Not Available","Not Available","Not Available","0.891217","5 out of 10","7 out of 9","7 out of 10","0.857234","0 out of 10","0 out of 9","0 out of 10","0.471966","8 out of 10","8 out of 9","8 out of 10","Not Available","Not Available","Not Available","Not Available","0.000","10 out of 10","0 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010109","PICKENS COUNTY MEDICAL CENTER","241 ROBERT K WILSON DRIVE","Carrollton","AL","35447","PICKENS","0.860534","Not Available","Not Available","Not Available","0.883500","1 out of 10","Not Available","1 out of 10","0.852153","0 out of 10","0 out of 9","0 out of 10","0.436963","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010112","BRYAN W. WHITFIELD MEMORIAL HOSPITAL","105 HIGHWAY 80 EAST","Demopolis","AL","36732","MARENGO","0.862762","Not Available","Not Available","Not Available","0.885536","2 out of 10","0 out of 9","2 out of 10","0.869067","0 out of 10","0 out of 9","0 out of 10","0.424273","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010113","MOBILE INFIRMARY MEDICAL CENTER","5 MOBILE INFIRMARY CIRCLE","Mobile","AL","36607","MOBILE","0.853438","4 out of 10","6 out of 9","6 out of 10","0.894244","7 out of 10","0 out of 9","7 out of 10","0.876718","0 out of 10","3 out of 9","3 out of 10","0.686803","0 out of 10","0 out of 9","0 out of 10","0.513","0 out of 10","0 out of 9","0 out of 10","0.645","2 out of 10","3 out of 9","3 out of 10","2 out of 10","1.061","0 out of 10","0 out of 9","0 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10"
"010114","MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM","995 9TH AVENUE SOUTHWEST","Bessemer","AL","35022","JEFFERSON","0.860711","8 out of 10","7 out of 9","8 out of 10","0.892234","6 out of 10","4 out of 9","6 out of 10","0.883494","1 out of 10","2 out of 9","2 out of 10","0.601884","1 out of 10","7 out of 9","7 out of 10","0.871","0 out of 10","0 out of 9","0 out of 10","1.432","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0.871","0 out of 10","0 out of 9","0 out of 10","Not Available","Not Available","Not Available","Not Available"
"010118","VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS","1015 MEDICAL CENTER PARKWAY","Selma","AL","36701","DALLAS","0.861002","9 out of 10","8 out of 9","9 out of 10","0.905950","10 out of 10","9 out of 9","10 out of 10","0.893423","5 out of 10","4 out of 9","5 out of 10","0.350982","10 out of 10","9 out of 9","10 out of 10","0.877","0 out of 10","0 out of 9","0 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10","0 out of 10","1.405","0 out of 10","0 out of 9","0 out of 10","Not Available","Not Available","Not Available","Not Available"
"010120","MONROE COUNTY HOSPITAL","2016 SOUTH ALABAMA AVENUE, BOX 886","Monroeville","AL","36460","MONROE","0.862094","Not Available","Not Available","Not Available","0.880765","0 out of 10","Not Available","0 out of 10","0.852267","0 out of 10","0 out of 9","0 out of 10","0.511092","6 out of 10","7 out of 9","7 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010125","LAKELAND COMMUNITY HOSPITAL","42024 HIGHWAY 195 E","Haleyville","AL","35565","WINSTON","0.854429","Not Available","Not Available","Not Available","0.871508","0 out of 10","1 out of 9","1 out of 10","0.889195","3 out of 10","3 out of 9","3 out of 10","0.444463","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010126","TROY REGIONAL MEDICAL CENTER","1330 HIGHWAY 231 SOUTH","Troy","AL","36081","PIKE","0.858458","Not Available","Not Available","Not Available","0.872697","0 out of 10","Not Available","0 out of 10","0.893679","5 out of 10","5 out of 9","5 out of 10","0.441672","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available","0.000","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010128","JACKSON MEDICAL CENTER","220 HOSPITAL DRIVE","Jackson","AL","36545","CLARKE","Not Available","Not Available","Not Available","Not Available","0.874374","Not Available","Not Available","Not Available","0.882250","0 out of 10","Not Available","0 out of 10","0.474198","8 out of 10","8 out of 9","8 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010129","NORTH BALDWIN INFIRMARY","1815 HAND AVENUE","Bay Minette","AL","36507","BALDWIN","0.858418","Not Available","Not Available","Not Available","0.883916","2 out of 10","Not Available","2 out of 10","0.883677","1 out of 10","3 out of 9","3 out of 10","0.518131","6 out of 10","7 out of 9","7 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010130","ST VINCENT'S ST CLAIR","7063 VETERANS PARKWAY","Pell City","AL","35125","SAINT CLAIR","0.862466","Not Available","Not Available","Not Available","0.885781","3 out of 10","Not Available","3 out of 10","0.876569","0 out of 10","0 out of 9","0 out of 10","0.502174","7 out of 10","6 out of 9","7 out of 10","Not Available","Not Available","Not Available","Not Available","0.000","10 out of 10","Not Available","10 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010131","CRESTWOOD MEDICAL CENTER","ONE HOSPITAL DR SE","Huntsville","AL","35801","MADISON","0.861450","9 out of 10","9 out of 9","9 out of 10","0.887933","4 out of 10","4 out of 9","4 out of 10","0.860778","0 out of 10","0 out of 9","0 out of 10","0.511169","6 out of 10","8 out of 9","8 out of 10","1.461","0 out of 10","0 out of 9","0 out of 10","0.686","2 out of 10","0 out of 9","2 out of 10","6 out of 10","0.288","6 out of 10","1 out of 9","6 out of 10","Not Available","Not Available","Not Available","Not Available"
"010139","BROOKWOOD MEDICAL CENTER","2010 BROOKWOOD MEDICAL CENTER DRIVE","Birmingham","AL","35209","JEFFERSON","0.871124","10 out of 10","9 out of 9","10 out of 10","0.890758","5 out of 10","4 out of 9","5 out of 10","0.873647","0 out of 10","1 out of 9","1 out of 10","0.542858","4 out of 10","3 out of 9","4 out of 10","0.914","0 out of 10","0 out of 9","0 out of 10","1.450","0 out of 10","0 out of 9","0 out of 10","4 out of 10","0.980","0 out of 10","0 out of 9","0 out of 10","0.131","8 out of 10","4 out of 9","8 out of 10"
"010144","SPRINGHILL MEMORIAL HOSPITAL","3719 DAUPHIN STREET","Mobile","AL","36608","MOBILE","0.857887","7 out of 10","6 out of 9","7 out of 10","0.898321","9 out of 10","6 out of 9","9 out of 10","0.881900","0 out of 10","5 out of 9","5 out of 10","0.748947","0 out of 10","1 out of 9","1 out of 10","0.424","1 out of 10","2 out of 9","2 out of 10","1.716","0 out of 10","2 out of 9","2 out of 10","0 out of 10","2.187","0 out of 10","0 out of 9","0 out of 10","Not Available","Not Available","Not Available","Not Available"
"010148","EVERGREEN MEDICAL CENTER","101 CRESTVIEW AVENUE","Evergreen","AL","36401","CONECUH","0.865095","Not Available","Not Available","Not Available","0.883693","2 out of 10","0 out of 9","2 out of 10","0.885136","2 out of 10","Not Available","2 out of 10","0.447864","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010149","BAPTIST MEDICAL CENTER EAST","400 TAYLOR ROAD","Montgomery","AL","36117","MONTGOMERY","0.866651","10 out of 10","9 out of 9","10 out of 10","0.896002","7 out of 10","2 out of 9","7 out of 10","0.899139","7 out of 10","6 out of 9","7 out of 10","0.315571","10 out of 10","9 out of 9","10 out of 10","0.214","5 out of 10","6 out of 9","6 out of 10","0.703","2 out of 10","2 out of 9","2 out of 10","6 out of 10","0.000","10 out of 10","0 out of 9","10 out of 10","0.505","3 out of 10","0 out of 9","3 out of 10"
"010150","L V STABLER MEMORIAL HOSPITAL","29 L V STABLER DRIVE","Greenville","AL","36037","BUTLER","0.859019","Not Available","Not Available","Not Available","0.888449","4 out of 10","Not Available","4 out of 10","0.896143","6 out of 10","Not Available","6 out of 10","0.550650","4 out of 10","6 out of 9","6 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010157","SHOALS HOSPITAL","201 WEST AVALON AVENUE","Muscle Shoals","AL","35661","COLBERT","0.860593","Not Available","Not Available","Not Available","0.884112","2 out of 10","Not Available","2 out of 10","0.886274","2 out of 10","3 out of 9","3 out of 10","0.437262","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010158","RUSSELLVILLE HOSPITAL","15155 HIGHWAY 43","Russellville","AL","35653","FRANKLIN","0.858621","Not Available","Not Available","Not Available","0.888870","4 out of 10","6 out of 9","6 out of 10","0.885921","2 out of 10","3 out of 9","3 out of 10","0.635775","0 out of 10","0 out of 9","0 out of 10","Not Available","Not Available","Not Available","Not Available","0.955","0 out of 10","0 out of 9","0 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010164","COOSA VALLEY MEDICAL CENTER","315 W HICKORY ST","Sylacauga","AL","35150","TALLADEGA","0.859181","8 out of 10","Not Available","8 out of 10","0.884406","2 out of 10","5 out of 9","5 out of 10","0.877226","0 out of 10","2 out of 9","2 out of 10","0.694656","0 out of 10","0 out of 9","0 out of 10","Not Available","Not Available","Not Available","Not Available","0.000","10 out of 10","0 out of 9","10 out of 10","10 out of 10","0.000","10 out of 10","0 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available"
"010168","JACK HUGHSTON MEMORIAL HOSPITAL","4401 RIVER CHASE DRIVE","Phenix City","AL","36867","RUSSELL","0.860447","Not Available","Not Available","Not Available","0.882159","Not Available","Not Available","Not Available","0.891562","Not Available","Not Available","Not Available","0.365534","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010169","ATMORE COMMUNITY HOSPITAL","401 MEDICAL PARK DRIVE","Atmore","AL","36502","ESCAMBIA","0.865182","Not Available","Not Available","Not Available","0.896660","8 out of 10","8 out of 9","8 out of 10","0.911003","10 out of 10","Not Available","10 out of 10","0.534527","5 out of 10","5 out of 9","5 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"020001","PROVIDENCE ALASKA MEDICAL CENTER","BOX 196604","Anchorage","AK","99508","ANCHORAGE","0.859144","8 out of 10","6 out of 9","8 out of 10","0.876038","0 out of 10","3 out of 9","3 out of 10","0.893725","5 out of 10","0 out of 9","5 out of 10","0.632768","0 out of 10","0 out of 9","0 out of 10","0.681","0 out of 10","7 out of 9","7 out of 10","0.842","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0.749","0 out of 10","0 out of 9","0 out of 10","0.651","2 out of 10","0 out of 9","2 out of 10"
"020006","MAT-SU REGIONAL MEDICAL CENTER","2500 SOUTH WOODWORTH LOOP","Palmer","AK","99645","MATANUSKA-SUSITNA","0.858006","7 out of 10","Not Available","7 out of 10","0.855181","0 out of 10","0 out of 9","0 out of 10","0.881322","0 out of 10","0 out of 9","0 out of 10","0.666804","0 out of 10","1 out of 9","1 out of 10","0.000","10 out of 10","Not Available","10 out of 10","0.595","3 out of 10","2 out of 9","3 out of 10","2 out of 10","0.590","2 out of 10","1 out of 9","2 out of 10","Not Available","Not Available","Not Available","Not Available"
